checklist_code,location_code,item_code,question,guideline,regulation_ref,ksm_sms_ref,ship_type,sequence_no
F605,10,1301,"Crew Management (Duties Assigned)
For vessels not manned according to GMDSS Certification?","<Check point>
GMDSS requires one or more of other Officers holding valid certificates authorizing service on vessel, subject to requirements of flag state.
<Reference>
GMDSS Radio Personnel:
Thailand - 1 Officer with GOC
Panama - 2 Deck Officers with GOCs or Personnel with GOC
Liberia - 2 Deck Officers with GOCs or Radio Personnel with 1/2 REC Singapore - 2 Officers with GOCs",IMO Res A801(19),,Common,11
F605,10,1302,"Crew Management (Duties Assigned)
Have roles and duties of Deck and Engineer Officers been defined ? Are the duties of the watch keeping officers and ratings clearly defined?","<Check point>
Check SMS Manuals.
Note if there is table of standard duties of Deck and Engineer Officers in Manuals.
Also, note if roles and responsibilities of Deck and Engineer Officers have been defined in Manuals.",,HRM 10.0,Common,12
F605,10,1303,"Crew Management (Duties Assigned)
Do crew know their own responsibilities?
Do crew know who has the direct line of authority over them?","<Check point>
Check by interviewing as many crew.",,HRM 10.0,Common,13
F605,10,1304,"Crew Management (Duties Assigned)
Are Master and crew wearing proper uniform?
Is it possible to recognize their rank by shore staff ?","<Check point>
Check during audit to see if Officers in public are easily identified or not. e.g.) Epaulet, Rank Badge, etc.",,,Common,14
F605,10,1305,"Crew Management (Duties Assigned)
Are the company's policy for appropriate and effective watches for the purpose of safety at all times been established?","<Check point>
Check the company's instruction.",STCW VIII/2.4,SPM VOL II 3.4,Common,15
F605,10,1400,"Crew Management (Health)
Has a Medical officer been designated?","<Check point>
Check by interviewing Medical Officer. Note Medical Officer has:
1) Checked hygiene in accommodation space;
2) Given hygienic guidance to crew; and
3) Arranged medicines and medical supplies.",,,Common,16
F605,10,1401,"Crew Management (Health)
What was the company’s defined maximum level of blood alcohol content?","<Check point>
Check SMS Manuals.
records and frequency of check and unannounced alcohol test HRM S 522 Record of Random Alcohol test.
Senior officers to witness Master’s tests.","Section B- VIII/1,
Guidance regarding fitness for duty, STCW 2010","HRM 5.3.12
Rightship 3.6,  to 3.9",Common,17
F605,10,1500,"Crew Management (Hygiene)
Is potable water analyzed onboard or at shore laboratory at intervals not exceeding 6 months in accordance with WHO Guidelines, and result of analysis recorded by Sanitary Officer?","<Check point> Check record.
Prior to replenishment of potable water, a quality report should be made available (or tested onboard if shore report not available). Check if e-coli and coliform content is tested and recorded.
If corrective measures have not been taken in response to bad result of analysis, it should be record as Finding.",,HRM 9.2.4,Common,18
F605,10,1600,"Crew Management (Fatigue Control)
Are the STCW and flag Administration’s regulations that control hours of work to minimize fatigue being followed?","<Check point>
Check the requirements with DMLC Part II. Check HRM S 521 Shipboard Working arrangement.
Check HRM S 520 Work Rest Hour record for officers and ratings
<Annotation>
Records should be kept for the Master, officers and all other members of the ships compliment to the specific ILO format.
However, the basis for calculating hours of rest should be demonstrated as being consistent with the Conventions’ requirements and, where applicable, with the interpretations of the OCIMF paper. OCIMF require that the term ‘any 24 hours’ is interpreted and applied literally and is not linked to calendar days or a fixed time of starting work or rest.
It should be ensured that, at any time during the working period, in the past 24 hours the seafarer should always be in compliance with the requirements for a minimum of 10 hours rest which has been divided into no more than 2 periods, one of which is to be a minimum of 6 hours.
The ILO format “Working Hours Record” contains columns for:
- “Hours of rest in 24 hour period”
- “Hours of Rest in any 24 hour period” A figure of less than 10 in this column indicates a day when non-conformance has occurred.
- A third column should indicate the “Hours of rest in any 7 day period” A figure of less than 77 in this column indicates a non-conformance has occurred.   Inspectors should observe if the records are not to ILO format or have columns that have not been completed unless another method of confirming conformance is available.
Although the regulations only require monitoring of hours to be undertaken on board, it is important that managers ashore have access to meaningful summary data that enables them to monitor the work and rest hours of individuals.
The Inspector should record an observation:
- If “any 24 hours” is not interpreted literally, or
- a lack of evidence of conformance/non-conformance calculations, or
- any lack of evidence that managers are informed at least monthly of compliance levels on board, or
- a failure by the manager to acknowledge significant levels of non-conformance (3 or more days containing “non-conformance” by any individual on board)","STCW
Code A VIII/1
MLC 2.3",HRM 8.4.2,Common,19
F605,10,1601,"Crew Management (Fatigue Control)
Do all personnel maintain record of rest hours and are they in compliance with MLC and STCW requirements?","<Check point>
Check records of HRM S 520 Work Rest Hour record
Check to see if there are records of working hours for all crewmembers including the Master. Verify that all seafarers on board maintain record of work/ rest hours.
<Additional check point for all type of tankers>
Although there is no requirement of retention of these records, OCIMF recommends past 12 months records be kept on board for scrutiny by shore authorities.
<Annotation>
Note: The Management System on board must require the recording of all hours worked for the ship. This will include any watch keeping or work duties either during or outside of the individuals scheduled period of work, and any other period of working that disturbs a scheduled rest period such as drills; Meetings; ER rounds; response to alarms; mooring stations or any stand-by conditions on the bridge, deck or engine room. The Inspector should randomly sample completed monthly records for the ships complement to confirm the records are accurately kept by cross reference to other records on board. 3 or more days containing “non-conformance” by any individual on  board should be recorded as an observation.","STCW
Code A VIII/1
MLC 2.3",HRM 8.4.7,Common,20
F605,10,1900,"Crew Management (Others)
Are original Seafarer Employment Agreements (SEA) valid and conform with MLC regulation 2.1?","<Check point>
• HRM F 505 Seafarer’s Employment Agreement Signed by both the seafarer and the manning company
• Seafarers are able to fully understand the contents of the agreement before being requested to sign the agreement.
• shipowner and seafarer concerned shall each have a signed original of the seafarers’ employment agreement
shipowner Requirement: SEA shall in all cases contain the termination of the agreement and the conditions thereof.
• The salaries inside the SEAs are not lower than the minimum salaries in the CBA.
<Annotation>
(i) if the agreement has been made for an indefinite period, the conditions entitling either party to terminate it, as well as the required notice period, which shall not be less for the shipowner than for the seafarer;
(ii) if the agreement has been made for a definite period, the date fixed for its expiry; and
(iii) if the agreement has been made for a voyage, the port of destination and the time which has to expire after arrival before the seafarer should be discharged;","MLC 2006
Standard A2.1.4g",HRM 4.1.4.2,Common,21
F605,10,7100,"Emergency Preparedness (Contingency Plan)
Are there sufficient crew onboard anytime to cope with an emergency?","<Check point>
Check the company instruction.
Check number of Officers and crew onboard.
 Check by interviewing Master procedures for recording number of Officers and crew aboard.",STCW VIII/2.4,HRM 2.3.1,Common,22
F605,10,7101,"Emergency Preparedness (Contingency Plan)
Are Master and officers familiar with ship-specific plans and procedures for Recovery of Persons from the water?","<Check point>
The plans and procedures shall identify the equipment intended to be used for recovery purposes and measures to be taken to minimise the risk to shipboard personnel involved in recovery operations. Ships constructed before 1 July 2014 shall comply with this requirement by the first periodic or renewal safety equipment survey of the ship to be carried out after 1 July 2014 whichever comes first.","SOLAS III/17-1 SOLAS 74, 2014
MSC.1/Circ. 1447",Rightship 5.46,Common,23
F605,10,8800,"Pollution Prevention (OPA-90)
<Only for ships trading in US waters>
Is the name of the OPA-90 qualified individual(QI) recorded in Vessel Response Plan(VRP) or Non-Tanker VRP?","<Check point>
Check the name of the OPA-90 qualified individual(QI)
<Annotation>
Note: The name of the OPA-90 qualified individual must be recorded in the VRP. If the vessel does not trade to the US, answer the question 'NA'.",,,Common,24
F605,10,8801,"Pollution Prevention (OPA-90)
<Only for ships trading in US waters>
Is Vessel Response Plan (VRP) or Non-Tank VRP approved by Authority available?
Also, has regular drill been conducted and result of drill recorded?","<Check point>
Check ＶＲＰ or Non-tank VRP
- VPR: Only for the Oil tankers trading USA ports.
- NTVRP: LPG, LNGCs and Chemical unless carrying annex 1 cargo & Non-tankers Check records.
<Annotation>
Note: A VRP must be provided for oil and chemical tankers trading to the USA. SOPEP's, SMPEP's and VRP's can be either in a single combined plan or in separate documents. If the vessel does not trade to the US, answer the question 'NA'.",,,Common,25
F605,10,9100,"Safety Management (Document Control)
Are all the statutory certificates listed below, where applicable, valid and have the annual and intermediate surveys been carried out within the required range dates?
- Certificate of Registry (all vessel)
- Continuous Synopsis Record with Form 2 and 3 (all vessel)
- Document of Compliance (DoC) (all vessel) annual audit
- Safety Management Certificate (SMC) (all vessel) intermediate verification
- Safety Equipment Certificate, supplemented by Form E (all vessel)
- Safety Radio Certificate, supplemented by Form R (all vessel)
- Safety Construction Certificate (all vessel)
- IOPP Certificate, supplemented by Form A or B (all vessel)
- Statement of Compliance supplement (all type of tankers & cape size bulker only)
- Minimum Safe Manning Document (all vessel)
- Certificate of Fitness for the Carriage of Chemicals or Gas (LNG & LPG carriers only)
- Noxious Liquid Substances (NLS) Certificate (Chemical tanker only)
- Civil Liability Convention (1992) Certificate (Petroleum & Chemical tankers only)
- Bunker - Civil Liability Convention (1992) Certificate (all vessel)
- Maritime Labor Convention (2006) (all vessel)
- IMSBC Code Fitness Certificate
 - Ballast Water Management Certificate.","<Check point>
Check SQE S 633 Certificates and Surveys is duly filled and filled every month and monitored by office
Check at least last Annual/ intermediate or renewal dates of  Statutory certificates. Safcon, IOPP, IAPP, ISPP, Class, MSMC, MLC, ISSC, ILLC and Alternate load line assignment (if any). All pages of Form ""E"", Form ""R"", Record of Safety equipment.
CHECK IF ANY CONDITIONAL CERT, ANY EXEMPTION OR EXTENSION FOR RENEWAL OF CERTIFICATE IS ISSUED.
<Reference>
The IMSBC Code fitness certificate in accordance with IMSBC Code (2015 Edition) may be issued upon requests from owners/shipbuilders on voluntary basis from 1 January 2016.
For cargoes listed in Table G1 (Cargo newly added and requirements on construction/equipment (IMSBC Code-4th amendment) as 'Group A and B' or 'Group B', IMSBC Code (2015 Edition) a fitness certificate will be issued in case where ships comply with requirements",,OPM 7.1.4,Common,26
F605,10,9101,"Safety Management (Document Control)
Are class survey reports adequately filed?
Are class survey Status most recent reports on board dated not more than one month prior to the date of audit?","<Check point>
Check the class survey status report.
Occasional survey, Periodical survey and Condition assessment survey reports shall be separately filed.
<Annotation>
Note: The file should contain class reports based on annual, intermediate, special and occasional surveys. The survey and repair reports should be adequately filed to facilitate checking.",,Rightship 1.17,Common,27
F605,10,9102,"Safety Management (Document Control)
Is the vessel free of conditions of class or significant recommendations, memoranda or notations?","<Check point>
Check latest class survey status report for any COC or significant memo.
If conditions of class have not been completed by the required due date, It should be record as observation. Otherwise, just mention it in the audit report.",,,Common,28
F605,10,9103,"Safety Management (Document Control)
Are Company's handover procedures for replacement of crew and minimum period of on board overlapping available?","<Check point>
Check by interviewing as Master.
Are handover procedures followed when crew are replaced?
 - Is there ample time for handover?
 - Is handover notes prepared and filled?
 - Check handover Notes HRM S 524,525 & 526
  -Check handover checklist as per HRM S 524,525 & 526",,HRM 4.9,Common,29
F605,10,9104,"Safety Management (Document Control)
Do the company’s procedures manuals comply with ISM Code requirements?","<Check point>
<Annotation>
The Company should ensure that the safety management system operating on board the ship contains a clear statement emphasizing the Master’s authority. The Company should establish in the safety management system that the Master has the overriding authority and the responsibility to make decisions with respect to safety and pollution prevention and to request the Company’s assistance as may be necessary. (ISM Code 5.2)
Notes: It is not a requirement that the manuals be written in English. However, if not, the fact should be recorded in Comments. Key elements of the ISM Code that should be incorporated into the procedures manuals are that they should be:
- Relevant to the ship;
- User friendly;
- Written in the working language of the crew. And that they should at least contain:
- A safety and environmental policy;
- Emergency procedures;
Emergency procedures should at least include collision, grounding, flooding, heavy weather damage, structural failure, fire (on deck and in cargo tanks, the engine room, pump room and accommodation), explosion, gas or toxic vapor release, critical machinery failure, rescue from enclosed spaces, serious injury and helicopter operations.
- A description of the Master’s and crew’s responsibilities;
- Shipboard operation plans;
- Procedures for reporting non-conformities and for corrective action;
- Maintenance programmes;
- Procedures for auditing and reviews;
- Programmed of drills,
The programmed of drills must at least include the emergency procedures detailed above and in addition abandon ship, man overboard, pollution clean-up and ship security including dealing with terrorism and piracy.
Occasionally the company’s procedures are available only in computerized versions. Ascertain whether there is adequate access for all personnel to a computer and whether adequate training has been given to all personnel in accessing the company’s procedures using one. In any case, an up to date copy of the company’s navigation policy and procedures must be available on the bridge and officers should demonstrate familiarity with the policy. If the policy is provided in electronic format only, a back-up independent means of power supply to the computer must be provided.",ISM Code 5.2,APEX 6.4,Common,30
F605,10,9105,"Safety Management (Document Control)
Is Document of Compliance for ship carrying dangerous goods available? Applicable to vessels carrying IMDG cargo.","<Check point>
Check Document of Compliance certificate for ship carrying IMDG cargo.",SOLAS II-2/19.4,,Common,31
F605,10,9106,"Safety Management (Document Control)
Are Cyber Security Policy and Cyber security procedures as per Cyber Security Manual?","<Check point>
check cyber security policy

The cyber security management shall:
• Who is the SCSO of the vessel?;
Can vessel staff identify CCSO?
• Is the ship specific risk assessment available onboard  ;
• Implement technical measures to protect against a cyber-incident and ensure continuity of operations. This may include configuration of networks, access control to networks and systems, communication and boundary defence and the use of protection and detection software;
• Implement activities and plans (procedural protection measures) to provide resilience against cyber incidents. This may include training and awareness, software maintenance, remote and local access, access privileges, use of removable media and equipment disposal
• Implement activities to prepare for and respond to cyber incidents.
Note: Do the procedures include a risk assessment of issues such as:
• Threats such as from malware; phishing attacks etc.
• Identification and protection of Vulnerable systems (ECDIS etc)
• Mitigation measures, (USB control etc)
• Identify key personnel within the company (including who the master reports suspected incidents to)
• Hard copy of key contacts (e.g. DPA; CSO etc).
• Password management/record?
• Contractor compliance
Note: Does the Cyber Response plan contain guidance on:
• What ‘symptoms’ to look for,
• Immediate actions to be taken and
• Name, position, phone number and email for the Responsible Person to be contacted",,"CSM 2.0
CSM 3.0
CSM 4.0",Common,32
F605,10,9107,"Safety Management (Document Control)
Are measures in place for controlling the use of removable media such as USB memory sticks, CDs, DVDs and diskettes on ship board computers? Is there a dedicated USB for ECDIS?","<Check point>
• Check CSM-6 form ; it must ensure that media devices are not normally used to transfer information between un-controlled and controlled systems.",,CSM 4.5.7,Common,33
F605,10,9108,"Safety Management (Document Control)
Are cyber security awareness materials for improving crew awareness being provided  awareness actively promoted by the company and onboard?","<Check point>
Example of cyber security awareness materials are:
• Training films
• Crew’s training
• Cyber security awareness posters
• Note: Active promotion might include:
• 'Cyber Awareness Material' displayed by all IT terminals and in crew rest rooms
• Training films shown to crew
• Crew specific training
• Instruction on safeguarding of passwords
• Responsible use of social media.
• Policy on the use of personal devices and its inclusion in shipboard joining familiarisation checklists.
• May include companies own employee/contractor Authorised User Policy (AUP) agreements.
• Company certified as per ISO 27001",,CSM 6.0,Common,34
F605,10,9109,"Safety Management (Document Control)
Are the crew aware of the company policy on the control of physical access to all shipboard IT/OT systems?","<Check point>
• Observe if access to USB ports on 'Shipboard IT/OT' terminals are controlled (i.e. there are measures in place to block/lock USB/RJ-45 ports on these terminals.
Procedures should include the protection of Critical equipment such as ECDIS from malware and virus attacks. Procedures should include the control of access to all shipboard IT/OT terminals including access to Servers which should be in a secure location. The procedures should also include access by any third-party contractors and technicians.",,CSM 6.0,Common,35
F605,10,9110,"Safety Management (Document Control)
Does the company have policy on the use of personal devices onboard?","<Check point>
• Personal devices include phone/tablets etc and storage devices such as USB sticks.
Check if the policy is implemented by both, crew and visitors, e.g. all third-party contractors and technicians.",,CSM 6.3,Common,36
F605,10,9200,"Safety Management (Internal Audit)
Has an internal audit been conducted, result of audit recorded, and are actions being initiated to correct any non-conformities?","<Check point>
Note records of internal audit.
Confirm internal audit is conducted within 12 months.
<Annotation>
In exceptional circumstances, this interval may be exceeded by not more than three months.",ISM Code 12.1,SSQE 10.0,Common,37
F605,10,9201,"Safety Management (Internal Audit)
Is a recent company’s internal audit report available and is a close-out system in place for dealing with non-conformities?","<Check point>
Check SQE F 602 Internal Audit Report. Check if all observations are closed out with final comments from company. Note last date of I.A.
Check for CARs and other Company's document which shows that correction has been complete.
Pick out randomly some nonconformities found in internal audit, and check to see if those have been corrected.
<Annotation>
Note: This audit must be conducted as part of the company’s SMS procedures. Satisfactory evidence should record that corrective action was taken to rectify non-conformities. A close-out system, which includes a time limit for corrective action, informing the company when completed and the company ensuring that it has been, should be in place and the inspector should ensure that the required actions have been made within the required time. Inspectors must not use company’s audits as a means to record Finding. Some administrations may permit an extension for this review.",,SSQE10.5.5,Common,38
F605,10,9300,"Safety Management (External Audit & Inspection)
Have Findings and CARs in the last External audit been corrected?","<Check point>
Is audit report available, and follow any pending CARs. Check if CARs have been corrected or slated to fix at drydock.",,SSQE 10.6,Common,39
F605,10,9400,"Safety Management (Company's Support)
Does the company’s representative visit the vessel at least bi-annually?","<Check point> Check records.
Note the last date of visit and if the representative was from deck or engine side
<Annotation>
Record the date of the last visit of superintendent (Marine Superintendent, Technical Superintendent, SEQ Dept.). In addition record the dates of each superintendent last visit.
Note: The company’s representative must be a Technical/Marine superintendent or person familiar with the company's SMS and responsible for its implementation. The company’s representative’s visits should occur at approximately six month intervals, a tolerance of one month is acceptable.",,SSQE 4.3.1,Common,40
F605,10,9401,"Safety Management (Company's Support)
Has the company given instructions by the document to the vessel to correct non-conformities or items pointed found by the superintendent? And has the ship staff corrected it accordingly?
Are items non-conformities or pointed summarized and can identify improved items and incompletion items?
Do they act to monitor for non-conformities or items pointed until improvement is completed?","<Check point>
Check if inspection is closed in VIMS and all observations closed. If VIMS system is not in use then check SQE S 625 Non Conformity.
Also, check to see if SI Report and Internal Audit Report are kept on different file. Pick out and check one or more(in-port-check) / several(sea-check).",,SSQE 4.3.4,Common,41
F605,10,9402,"Safety Management (Company's Support)
Have feedback of non-conformities/observations from other vessel as follows been informed to vessel and rectified?
- internal audit
- external audit
- 3rd party inspection
- PSC
- company audit
- etc.","<Check point>
Note if feedback of non-conformities found on other vessels in an internal and external audits have been provided to vessel.
Check if feedback has been used as object lesson and similar non-conformity/deficiency traced and corrected.",,SSQE 10.6,Common,42
F605,10,9500,"Safety Management (Safety Culture)
Is vessel staff aware of standards for fire/explosion prevention provided in SMS ?","<Check point>
Check if crew is fimliarized with Shipboard Emergency Procedure & hot work permit system and precautions mentioned in the SMS manual",,"SEM 4.7
SSQE 6.6.3",Common,43
F605,10,9501,"Safety Management (Safety Culture)
Has company established a risk assessment procedure so that the vessel can assess the risk of dangerous work  on board?
<Reference>
Dangerous Work as per SMS manual;
- High Place
- Over Side
- Underwater
- Pipelines＆Pressure Vessel
- High Voltage
- Mooring operations
 - Maintenance work on critical machinery
 - Enclosed space
 - Hot Work outside ER Workshop
 - Work during heavy weather","<Check point>
Check by records and interviewing Safety Officer.
Check if Officers’ are familiar with the process for conducting Risk Assessments for routine and nonroutine tasks on Risk Manager.
Check if operators provide adequate procedures for conducting RA and is there sufficient evidence of this process undertaken.",,SSQE 2.0,Common,44
F605,10,9502,"Safety Management (Safety Culture)
Are crew members participating in safety meetings and is there evidence of effective discussions on safety and health related issues with shore management feedback?","<Check point>
Safety & Health meetings are held once every month. Check SCM Section in VIMS & SQE S 623 B Minutes of Additional Safety Committee Meeting
Check if office comments received by the vessel.
Note: The Company must include at least the following in the meeting agenda:
- Crew injuries
- Personal protective equipment
- Near misses
- Contingency plan
- Sanitation of the ship
- Serious accidents on other vessels (including the Casualty Report, Safety Bulletin, etc.)
- Confirmation that the crew are complying with the SMS.
<Annotation>
Note: Safety Committee Meetings are intended to permit discussion among the vessel’s officers and ratings where these relate to safety. Safety meetings should not be used for the purposes of instruction or training.",MLC 4.3,SSQE 1.4.8,Common,45
F605,10,9503,"Safety Management (Safety Culture)
Are smoking regulations posted and being adhered to and are smoke rooms adequately identified?","<Check point>
Smoking regulations at sea and in port shall clearly be designated by Master. Smoking restriction poster shall be placed near gangway for visitors.",,SSQE 5.18,Common,46
F605,10,9504,"Safety Management (Safety Culture)
Does the Master evaluate and review the SMS manual, report to shore based management and then receive feedback from them?","<Check point>
Check SQE S 624 Master's SMS review
Check if company has responded to Master's review.
<Annotation>
Note: The master’s review should be carried out at least annually and documentary evidence should be available. The review should contain evidence of positive/negative feedback and not simply a tick box exercise with no material substance. The review may also include the ships management team input.",,SSQE 9.5,Common,47
F605,10,9505,"Safety Management (Safety Culture)
Are there procedures for reporting, investigation and close-out of accidents, incidents, non-conformities and near misses available? Are they being followed up?","<Check point>
Check by interviewing and confirm that there is Near miss reporting procedure and check VIMS
Check the content of one of latest near miss reports if any and confirm the countermeasure is planned/implemented. Check if there are any feedbacks, actions and follow up from company regarding near misses found in other vessels.
<Annotation>
The near miss reporting system shall cover unsafe act/unsafe condition (DEVILs/Near miss 3000). Feedback of near-miss reports from other vessels been provided to the vessel with instructions.
Devil hunting reports submitted five (3) or more per month from crew.",,"SSQE 10.8
SSQE 11.5
SSQE 11.6",Common,48
F605,10,9600,"Safety Management (Work Environment)
Has the Company provided  procedures for hot work and evidence to support its being followed?","<Check point>
Check SMS requirement of H.W., and company approval and communication. Check if SQE S 616 Hot work Permit.",,SSQE 6.5,Common,49
F605,10,9601,"Safety Management (Work Environment)
Has the Company provided procedures for enclosed space work and evidence to support its being followed?","<Check point> Check
1. if company has clearly defined what are considered as Enclosed space or confined space.
2. If SQE S 621 Enclosed space permit properly filled up
3. Every specified time in minute(s), check and record Oxygen (O2) contents [Vol. %], Hydrocarbon (HC) contents [LEL %] and Toxic Gas. Test shall also be done prior entry.
4. Check OEL LIMIT Table Annex  4 is placed in Ship office.",IMO Res A.1050(27),SSQE 6.5,Common,50
F605,10,9602,"Safety Management (Work Environment)
Has the Company provided procedures for rescue from enclosed space?","<Check point>
Check if crew is familiar with the procedures laid out.",,SSQE 6.5.7,Common,51
F605,10,9603,"Safety Management (Work Environment)
Has the Company provided procedures for working aloft and evidence to support its being followed?","<Check point>
Permit is applicable to any job which involves work higher than 2 meters from a safe deck surface.
Check  when last filled SQE E 619 Permit Working aloft",,SSQE 5.10,Common,52
F605,10,9604,"Safety Management (Work Environment)
Has the Company provided procedures for work over sides and evidence to support its being followed?","<Check point>
Check SMS Manuals. Has the ship identified specific locations for work over sides, and are crew familiar?",,SSQE 5.10,Common,53
